DATE,CLOSEP,YCP
  9-10-25,69.70,69.6
  8-10-25,69.60,69.7
  7-10-25,69.70,70.9
  6-10-25,70.90,71.2
  5-10-25,71.20,69.5
  30-9-25,69.50,69.4
  29-9-25,69.40,69.6
  28-9-25,69.60,70
  25-9-25,70.00,69.7
  24-9-25,69.70,69.9
  23-9-25,69.90,70.2
  22-9-25,70.20,70.6
  21-9-25,70.60,70.5
  18-9-25,70.50,70.6
  17-9-25,70.60,71.5
  16-9-25,71.50,71.8
  15-9-25,71.80,71.5
  14-9-25,71.50,73.5
  11-9-25,73.50,71.9
  10-9-25,71.90,73
  9-9-25,73.00,74.7
  8-9-25,74.70,75.1
  7-9-25,75.10,73.8
  4-9-25,73.80,75.8
  3-9-25,75.80,77.2
  2-9-25,77.20,78.1
  1-9-25,78.10,76.5
  31-8-25,76.50,71.4
  28-8-25,71.40,69.1
  27-8-25,69.10,68.9
  26-8-25,68.90,68.8
  25-8-25,68.80,67.1
  24-8-25,67.10,67.5
  21-8-25,67.50,67.9
  20-8-25,67.90,66.6
  19-8-25,66.60,68
  18-8-25,68.00,69
  17-8-25,69.00,68.7
  14-8-25,68.70,68.5
  13-8-25,68.50,68.8
  12-8-25,68.80,68.3
  11-8-25,68.30,67
  10-8-25,67.00,68.2
  7-8-25,68.20,69.1
  6-8-25,69.10,69.9
  4-8-25,69.90,69.9
  3-8-25,69.90,70.7
  31-7-25,70.70,69.8
  30-7-25,69.80,67.6
  29-7-25,67.60,69
  28-7-25,69.00,67.2
  27-7-25,67.20,68.8
  24-7-25,68.80,64.9
  23-7-25,64.90,63.1
  22-7-25,63.10,63.7
  21-7-25,63.70,63.8
  20-7-25,63.80,62.7
  17-7-25,62.70,59.9
  16-7-25,59.90,57.5
  15-7-25,57.50,57.4
  14-7-25,57.40,57.6
  13-7-25,57.60,58.7
  10-7-25,58.70,56.4
  9-7-25,56.40,56
  8-7-25,56.00,56
  7-7-25,56.00,53.8
  3-7-25,53.80,51.2
  2-7-25,51.20,50.7
  30-6-25,50.70,50.3
  29-6-25,50.30,51.1
  26-6-25,51.10,49.9
  25-6-25,49.90,49.6
  24-6-25,49.60,50.1
  23-6-25,50.10,50.1
  22-6-25,50.10,50.2
  19-6-25,50.20,49.7
  18-6-25,49.70,49.6
  17-6-25,49.60,50
  16-6-25,50.00,50.2
  15-6-25,50.20,49
  4-6-25,49.00,48.3
  3-6-25,48.30,47.9
  2-6-25,47.90,47
  1-6-25,47.00,46
  29-5-25,46.00,45.9
  28-5-25,45.90,45.9
  27-5-25,45.90,46.8
  26-5-25,46.80,51.9
  25-5-25,51.90,51.9
  24-5-25,51.90,52.8
  22-5-25,52.80,53.7
  21-5-25,53.70,52.9
  20-5-25,52.90,52.2
  19-5-25,52.20,52.4
  18-5-25,52.40,52.3
  17-5-25,52.30,52
  15-5-25,52.00,52
  14-5-25,52.00,52
  13-5-25,52.00,51.9
  12-5-25,51.90,51.9
  8-5-25,51.90,51.4
  7-5-25,51.40,51.8
  6-5-25,51.80,50.6
  5-5-25,50.60,50
  4-5-25,50.00,49.6
  30-4-25,49.60,49.1
  29-4-25,49.10,49.5
  28-4-25,49.50,50.1
  27-4-25,50.10,49.6
  24-4-25,49.60,50.1
  23-4-25,50.10,49.6
  22-4-25,49.60,49.3
  21-4-25,49.30,49.7
  20-4-25,49.70,49.7
  17-4-25,49.70,49.8
  16-4-25,49.80,49.9
  15-4-25,49.90,49.5
  13-4-25,49.50,50.1
  10-4-25,50.10,49.7
  9-4-25,49.70,49
  8-4-25,49.00,50
  7-4-25,50.00,50.6
  6-4-25,50.60,50.9
  27-3-25,50.90,50.7
  25-3-25,50.70,50.7
  24-3-25,50.70,50.8
  23-3-25,50.80,51.5
  20-3-25,51.50,51.8
  19-3-25,51.80,52
  18-3-25,52.00,52.2
  17-3-25,52.20,52.2
  16-3-25,52.20,52.8
  13-3-25,52.80,52.1
  12-3-25,52.10,51.9
  11-3-25,51.90,52.1
  10-3-25,52.10,51.9
  9-3-25,51.90,51.9
  6-3-25,51.90,52
  5-3-25,52.00,52
  4-3-25,52.00,52.6
  3-3-25,52.60,52.4
  2-3-25,52.40,52.3
  27-2-25,52.30,52.4
  26-2-25,52.40,53.4
  25-2-25,53.40,53.4
  24-2-25,53.40,52.6
  23-2-25,52.60,51.9
  20-2-25,51.90,52.6
  19-2-25,52.60,53.2
  18-2-25,53.20,53.8
  17-2-25,53.80,53.1
  16-2-25,53.10,51.9
  13-2-25,51.90,51.6
  12-2-25,51.60,51.5
  11-2-25,51.50,51
  10-2-25,51.00,51.1
  9-2-25,51.10,51.1
  6-2-25,51.10,51.1
  5-2-25,51.10,50.7
  4-2-25,50.70,51.5
  3-2-25,51.50,51.5
  2-2-25,51.50,51.8
  30-1-25,51.80,50.7
  29-1-25,50.70,50.6
  28-1-25,50.60,50
  27-1-25,50.00,49.8
  26-1-25,49.80,50.3
  23-1-25,50.30,50.1
  22-1-25,50.10,49.4
  21-1-25,49.40,49
  20-1-25,49.00,48.8
  19-1-25,48.80,48.8
  16-1-25,48.80,49
  15-1-25,49.00,49.3
  14-1-25,49.30,49
  13-1-25,49.00,49
  12-1-25,49.00,50
  9-1-25,50.00,49.8
  8-1-25,49.80,49.9
  7-1-25,49.90,49.9
  6-1-25,49.90,50.3
  5-1-25,50.30,50.5
  2-1-25,50.50,49.4
  1-1-25,49.40,49
  30-12-24,49.00,48.7
  29-12-24,48.70,48.8
  26-12-24,48.80,48.6
  24-12-24,48.60,48.6
  23-12-24,48.60,48.6
  22-12-24,48.60,48.3
  19-12-24,48.30,48.7
  18-12-24,48.70,49
  17-12-24,49.00,48.6
  15-12-24,48.60,48.3
  12-12-24,48.30,48.2
  11-12-24,48.20,48.5
  10-12-24,48.50,47.9
  9-12-24,47.90,48
  8-12-24,48.00,47.9
  5-12-24,47.90,48.1
  4-12-24,48.10,47.9
  3-12-24,47.90,48.3
  2-12-24,48.30,48.1
  1-12-24,48.10,48.3
  28-11-24,48.30,48.6
  27-11-24,48.60,47.5
  26-11-24,47.50,47.8
  25-11-24,47.80,48.7
  24-11-24,48.70,49.6
  21-11-24,49.60,49.2
  20-11-24,49.20,49.5
  19-11-24,49.50,50.3
  18-11-24,50.30,50.9
  17-11-24,50.90,51.6
  14-11-24,51.60,50.9
  13-11-24,50.90,50.6
  12-11-24,50.60,51.2
  11-11-24,51.20,51
  10-11-24,51.00,50.9
  7-11-24,50.90,51.5
  6-11-24,51.50,52.2
  5-11-24,52.20,51.5
  4-11-24,51.50,50.8
  3-11-24,50.80,51.6
  31-10-24,51.60,52
  30-10-24,52.00,49.9
  29-10-24,49.90,47.9
  28-10-24,47.90,46.9
  27-10-24,46.90,47.3
  24-10-24,47.30,47.5
  23-10-24,47.50,48.8
  22-10-24,48.80,48.1
  21-10-24,48.10,47.1
  20-10-24,47.10,49.6
  17-10-24,49.60,51.5
  16-10-24,51.50,52.3
  15-10-24,52.30,51.8
  14-10-24,51.80,52.1
  9-10-24,52.10,49.7
  8-10-24,49.70,52
  7-10-24,52.00,54.2
  6-10-24,54.20,54.6
  3-10-24,54.60,54.2
  2-10-24,54.20,55.1
  1-10-24,55.10,54.2
  30-9-24,54.20,54.3
  29-9-24,54.30,55.1
  26-9-24,55.10,56.7
  25-9-24,56.70,56.2
  24-9-24,56.20,56.3
  23-9-24,56.30,55.6
  22-9-24,55.60,54.9
  19-9-24,54.90,54.6
  18-9-24,54.60,53.9
  17-9-24,53.90,54.5
  15-9-24,54.50,55.2
  12-9-24,55.20,56
  11-9-24,56.00,56.4
  10-9-24,56.40,56.3
  9-9-24,56.30,56.7
  8-9-24,56.70,56.2
  5-9-24,56.20,55.9
  4-9-24,55.90,56.7
  3-9-24,56.70,57.5
  2-9-24,57.50,53.6
  1-9-24,53.60,53.6
  29-8-24,53.60,53.5
  28-8-24,53.50,52.6
  27-8-24,52.60,52.4
  25-8-24,52.40,53.2
  22-8-24,53.20,51.2
  21-8-24,51.20,52.4
  20-8-24,52.40,52.1
  19-8-24,52.10,51.6
  18-8-24,51.60,53.1
  15-8-24,53.10,54.4
  14-8-24,54.40,49.8
  13-8-24,49.80,48.2
  12-8-24,48.20,49.6
  11-8-24,49.60,46.9
  8-8-24,46.90,42.7
  7-8-24,42.70,38.9
  6-8-24,38.90,36.3
  4-8-24,36.30,37.4
  1-8-24,37.40,37.1
  31-7-24,37.10,37.2
  30-7-24,37.20,37.5
  29-7-24,37.50,37.7
  28-7-24,37.70,38.1
  25-7-24,38.10,38
  24-7-24,38.00,39.1
  18-7-24,39.10,37
  16-7-24,37.00,36.6
  15-7-24,36.60,36.6
  14-7-24,36.60,36.7
  11-7-24,36.70,36.8
  10-7-24,36.80,36.6
  9-7-24,36.60,36.6
  8-7-24,36.60,36.9
  7-7-24,36.90,36.4
  4-7-24,36.40,34.7
  3-7-24,34.70,34.5
  2-7-24,34.50,34.3
  30-6-24,34.30,34.8
  27-6-24,34.80,34.6
  26-6-24,34.60,34.5
  25-6-24,34.50,34.1
  24-6-24,34.10,33.9
  23-6-24,33.90,34.2
  20-6-24,34.20,33.8
  19-6-24,33.80,34
  13-6-24,34.00,33.6
  12-6-24,33.60,33.2
  11-6-24,33.20,33.3
  10-6-24,33.30,33.7
  9-6-24,33.70,33.9
  6-6-24,33.90,34.2
  5-6-24,34.20,33.8
  4-6-24,33.80,33.9
  3-6-24,33.90,34.6
  2-6-24,34.60,33.7
  30-5-24,33.70,34.4
  29-5-24,34.40,34
  28-5-24,34.00,34.5
  27-5-24,34.50,34.7
  26-5-24,34.70,35.3
  23-5-24,35.30,36.2
  21-5-24,36.20,35.6
  20-5-24,35.60,38.4
  19-5-24,38.40,38.4
  16-5-24,38.40,38.2
  15-5-24,38.20,37.9
  14-5-24,37.90,38
  13-5-24,38.00,38.2
  12-5-24,38.20,36.9
  9-5-24,36.90,37.7
  8-5-24,37.70,38.8
  7-5-24,38.80,38.8
  6-5-24,38.80,39.4
  5-5-24,39.40,38.9
  2-5-24,38.90,38.7
  30-4-24,38.70,38.6
  29-4-24,38.60,38.4
  28-4-24,38.40,37.1
  25-4-24,37.10,37.9
  24-4-24,37.90,37.9
  23-4-24,37.90,37.6
  22-4-24,37.60,37.4
  21-4-24,37.40,37.1
  18-4-24,37.10,37.8
  17-4-24,37.80,38
  16-4-24,38.00,37.6
  15-4-24,37.60,38.5
  9-4-24,38.50,40.5
  8-4-24,40.50,39.7
  4-4-24,39.70,40.1
  3-4-24,40.10,39.6
  2-4-24,39.60,39.5
  1-4-24,39.50,40.2
  31-3-24,40.20,40.3
  28-3-24,40.30,40.9
  27-3-24,40.90,41
  25-3-24,41.00,41.3
  24-3-24,41.30,41.7
  21-3-24,41.70,41.6
  20-3-24,41.60,41.4
  19-3-24,41.40,42
  18-3-24,42.00,41.1
  14-3-24,41.10,41.3
  13-3-24,41.30,40.8
  12-3-24,40.80,40.8
  11-3-24,40.80,41.5
  10-3-24,41.50,41.8
  7-3-24,41.80,41.9
  6-3-24,41.90,42.1
  5-3-24,42.10,42.4
  4-3-24,42.40,42
  3-3-24,42.00,42.7
  29-2-24,42.70,42.9
  28-2-24,42.90,43
  27-2-24,43.00,42.9
  25-2-24,42.90,43
  22-2-24,43.00,42.7
  20-2-24,42.70,42.3
  19-2-24,42.30,41.6
  18-2-24,41.60,43
  15-2-24,43.00,42.8
  14-2-24,42.80,42.3
  13-2-24,42.30,41.3
  12-2-24,41.30,40.9
  11-2-24,40.90,39.1
  8-2-24,39.10,39.1
  7-2-24,39.10,39.5
  6-2-24,39.50,39
  5-2-24,39.00,38.3
  4-2-24,38.30,37.8
  1-2-24,37.80,37.7
  31-1-24,37.70,37.8
  30-1-24,37.80,36.9
  29-1-24,36.90,36
  28-1-24,36.00,37.5
  25-1-24,37.50,38.1
  24-1-24,38.10,37.9
  23-1-24,37.90,36.2
  22-1-24,36.20,36.3
  21-1-24,36.30,35.8
  18-1-24,35.80,35.8
  17-1-24,35.80,35.8
  16-1-24,35.80,35.8
  15-1-24,35.80,35.8
  14-1-24,35.80,35.8
  11-1-24,35.80,35.8
  10-1-24,35.80,35.8
  9-1-24,35.80,35.8
  8-1-24,35.80,35.8
  4-1-24,35.80,35.8
  3-1-24,35.80,35.8
  2-1-24,35.80,35.8
  1-1-24,35.80,35.8
