Date,DSEX
09-10-2025,5283.71827
08-10-2025,5337.86197
07-10-2025,5377.00459
06-10-2025,5423.64262
05-10-2025,5447.63342
30-09-2025,5415.78508
29-09-2025,5389.7754
28-09-2025,5380.07525
25-09-2025,5415.13384
24-09-2025,5392.65095
23-09-2025,5347.46815
22-09-2025,5337.14191
21-09-2025,5381.84925
18-09-2025,5449.92985
17-09-2025,5492.34342
16-09-2025,5509.60617
15-09-2025,5474.71583
14-09-2025,5468.35066
11-09-2025,5523.78412
10-09-2025,5473.14677
09-09-2025,5538.25128
08-09-2025,5627.59051
07-09-2025,5636.15369
04-09-2025,5614.27988
03-09-2025,5631.61606
02-09-2025,5620.91953
01-09-2025,5583.78597
31-08-2025,5594.393
28-08-2025,5517.94525
27-08-2025,5443.31356
26-08-2025,5448.83278
25-08-2025,5455.40088
24-08-2025,5389.17026
21-08-2025,5374.96139
20-08-2025,5379.4106
19-08-2025,5410.89697
18-08-2025,5419.90952
17-08-2025,5401.48875
14-08-2025,5350.24708
13-08-2025,5314.33128
12-08-2025,5315.44699
11-08-2025,5344.04937
10-08-2025,5351.03182
07-08-2025,5408.07123
06-08-2025,5471.15528
04-08-2025,5485.90898
03-08-2025,5536.14202
31-07-2025,5443.41623
30-07-2025,5352.19956
29-07-2025,5298.46943
28-07-2025,5332.06544
27-07-2025,5354.82887
24-07-2025,5392.04307
23-07-2025,5363.94527
22-07-2025,5270.57308
21-07-2025,5219.6238
20-07-2025,5194.0315
17-07-2025,5132.47867
16-07-2025,5116.89591
15-07-2025,5062.20263
14-07-2025,5061.83447
13-07-2025,5066.43531
10-07-2025,5068.0355
09-07-2025,5035.46564
08-07-2025,4981.63738
07-07-2025,4976.16208
03-07-2025,4894.06663
02-07-2025,4865.33107
30-06-2025,4838.39088
29-06-2025,4839.77914
26-06-2025,4832.83385
25-06-2025,4767.64325
24-06-2025,4717.65906
23-06-2025,4695.03269
22-06-2025,4677.60479
19-06-2025,4754.41449
18-06-2025,4776.82541
17-06-2025,4739.68888
16-06-2025,4783.65904
15-06-2025,4724.00226
04-06-2025,4709.09092
03-06-2025,4664.79438
02-06-2025,4689.52334
01-06-2025,4668.40698
29-05-2025,4637.92126
28-05-2025,4615.40524
27-05-2025,4678.13251
26-05-2025,4719.38685
25-05-2025,4736.33914
24-05-2025,4746.42555
22-05-2025,4785.11559
21-05-2025,4801.32154
20-05-2025,4795.04563
19-05-2025,4776.33415
18-05-2025,4791.08736
17-05-2025,4820.46855
15-05-2025,4781.02019
14-05-2025,4835.60319
13-05-2025,4874.58004
12-05-2025,4921.55512
08-05-2025,4902.2777
07-05-2025,4802.41799
06-05-2025,4951.72775
05-05-2025,4964.6702
04-05-2025,4956.25243
30-04-2025,4917.91794
29-04-2025,4935.61688
28-04-2025,4952.79458
27-04-2025,4995.46816
24-04-2025,4972.59569
23-04-2025,5022.47441
22-04-2025,5026.57205
21-04-2025,5044.85027
20-04-2025,5074.37674
17-04-2025,5097.32855
16-04-2025,5105.68857
15-04-2025,5132.01835
13-04-2025,5169.68187
10-04-2025,5205.2344
09-04-2025,5196.04611
08-04-2025,5185.82783
07-04-2025,5196.70267
06-04-2025,5205.19249
27-03-2025,5219.16223
25-03-2025,5214.20681
24-03-2025,5196.88872
23-03-2025,5183.35687
20-03-2025,5201.69716
19-03-2025,5207.35798
18-03-2025,5210.295
17-03-2025,5205.43745
16-03-2025,5221.94611
13-03-2025,5225.61398
12-03-2025,5216.06559
11-03-2025,5199.30089
10-03-2025,5190.94571
09-03-2025,5174.44098
06-03-2025,5203.96022
05-03-2025,5196.66064
04-03-2025,5194.10631
03-03-2025,5220.66506
02-03-2025,5236.84735
27-02-2025,5247.30108
26-02-2025,5253.78918
25-02-2025,5267.88572
24-02-2025,5234.94565
23-02-2025,5224.3728
20-02-2025,5200.37421
19-02-2025,5192.4441
18-02-2025,5203.20038
17-02-2025,5211.53273
16-02-2025,5198.78299
13-02-2025,5201.47815
12-02-2025,5189.62162
11-02-2025,5192.05169
10-02-2025,5174.28319
09-02-2025,5165.88083
06-02-2025,5179.17525
05-02-2025,5170.06499
04-02-2025,5147.33934
03-02-2025,5145.84493
02-02-2025,5126.14893
30-01-2025,5112.89548
29-01-2025,5112.51123
28-01-2025,5126.42229
27-01-2025,5130.05959
26-01-2025,5132.3861
23-01-2025,5166.5309
22-01-2025,5177.24361
21-01-2025,5202.61589
20-01-2025,5195.82996
19-01-2025,5145.07848
16-01-2025,5133.92378
15-01-2025,5142.51908
14-01-2025,5150.86667
13-01-2025,5151.87693
12-01-2025,5156.22938
09-01-2025,5194.43347
08-01-2025,5185.00084
07-01-2025,5190.77791
06-01-2025,5198.84249
05-01-2025,5165.1677
02-01-2025,5199.61657
01-01-2025,5218.15975
30-12-2024,5216.44276
29-12-2024,5204.77948
26-12-2024,5184.44633
24-12-2024,5169.32268
23-12-2024,5170.79421
22-12-2024,5196.41038
19-12-2024,5221.57273
18-12-2024,5208.2084
17-12-2024,5224.58344
15-12-2024,5178.86692
12-12-2024,5105.4316
11-12-2024,5124.49968
10-12-2024,5166.83237
09-12-2024,5166.98069
08-12-2024,5181.83165
05-12-2024,5196.82337
04-12-2024,5238.3706
03-12-2024,5226.04873
02-12-2024,5201.93919
01-12-2024,5185.04803
28-11-2024,5192.59474
27-11-2024,5197.93651
26-11-2024,5143.12922
25-11-2024,5136.12511
24-11-2024,5146.4995
21-11-2024,5197.58015
20-11-2024,5245.26354
19-11-2024,5242.66142
18-11-2024,5300.06655
17-11-2024,5328.32847
14-11-2024,5355.32694
13-11-2024,5316.01752
12-11-2024,5298.36505
11-11-2024,5333.42404
10-11-2024,5265.8462
07-11-2024,5316.33395
06-11-2024,5347.08388
05-11-2024,5365.0175
04-11-2024,5252.49541
03-11-2024,5190.85928
31-10-2024,5199.40341
30-10-2024,5164.83877
29-10-2024,5017.32765
28-10-2024,4898.52637
27-10-2024,4965.39395
24-10-2024,5114.59696
23-10-2024,5169.79296
22-10-2024,5241.77491
21-10-2024,5173.11074
20-10-2024,5160.73068
17-10-2024,5257.97639
16-10-2024,5316.21089
15-10-2024,5365.96492
14-10-2024,5373.542
09-10-2024,5422.05668
08-10-2024,5323.21819
07-10-2024,5335.05505
06-10-2024,5378.77515
03-10-2024,5462.58073
02-10-2024,5453.99344
01-10-2024,5586.28575
30-09-2024,5624.50314
29-09-2024,5658.11727
26-09-2024,5639.13384
25-09-2024,5736.5087
24-09-2024,5777.95927
23-09-2024,5760.39232
22-09-2024,5734.9748
19-09-2024,5735.27238
18-09-2024,5694.13547
17-09-2024,5681.60298
15-09-2024,5711.77478
12-09-2024,5726.51545
11-09-2024,5713.95595
10-09-2024,5702.82923
09-09-2024,5629.54048
08-09-2024,5679.30961
05-09-2024,5728.64501
04-09-2024,5739.06674
03-09-2024,5786.5188
02-09-2024,5803.71087
01-09-2024,5829.37294
29-08-2024,5804.41894
28-08-2024,5756.71308
27-08-2024,5685.77895
25-08-2024,5700.58889
22-08-2024,5699.9162
21-08-2024,5606.95737
20-08-2024,5715.35696
19-08-2024,5775.49274
18-08-2024,5778.6399
15-08-2024,5903.83616
14-08-2024,5952.77286
13-08-2024,5867.96124
12-08-2024,5932.27925
11-08-2024,6015.9069
08-08-2024,5924.81327
07-08-2024,5618.79295
06-08-2024,5426.42393
04-08-2024,5229.26824
01-08-2024,5333.938
31-07-2024,5280.47492
30-07-2024,5269.52828
29-07-2024,5330.2433
28-07-2024,5383.72012
25-07-2024,5413.64599
24-07-2024,5350.83353
18-07-2024,5446.50191
16-07-2024,5483.14458
15-07-2024,5484.96585
14-07-2024,5482.79108
11-07-2024,5506.78223
10-07-2024,5568.45047
09-07-2024,5594.64557
08-07-2024,5564.63034
07-07-2024,5558.94347
04-07-2024,5497.56015
03-07-2024,5373.842
02-07-2024,5340.18963
30-06-2024,5328.40294
27-06-2024,5355.41017
26-06-2024,5302.72123
25-06-2024,5241.83699
24-06-2024,5220.18558
23-06-2024,5247.13723
20-06-2024,5244.12835
19-06-2024,5161.38218
13-06-2024,5117.81074
12-06-2024,5083.19643
11-06-2024,5070.01878
10-06-2024,5105.88878
09-06-2024,5171.56229
06-06-2024,5237.32148
05-06-2024,5224.36538
04-06-2024,5247.5275
03-06-2024,5235.63361
02-06-2024,5233.66618
30-05-2024,5251.96184
29-05-2024,5228.53142
28-05-2024,5278.88449
27-05-2024,5310.51885
26-05-2024,5250.84983
23-05-2024,5312.39603
21-05-2024,5371.1008
20-05-2024,5393.65477
19-05-2024,5431.28181
16-05-2024,5517.41687
15-05-2024,5527.39785
14-05-2024,5585.61933
13-05-2024,5666.76007
12-05-2024,5696.7237
09-05-2024,5661.04814
08-05-2024,5690.78392
07-05-2024,5725.27996
06-05-2024,5727.01727
05-05-2024,5692.06365
02-05-2024,5615.64642
30-04-2024,5584.64953
29-04-2024,5569.68937
28-04-2024,5615.8425
25-04-2024,5518.48221
24-04-2024,5578.97063
23-04-2024,5633.60828
22-04-2024,5674.86709
21-04-2024,5653.71044
18-04-2024,5686.68772
17-04-2024,5763.77239
16-04-2024,5774.58134
15-04-2024,5778.76968
09-04-2024,5864.08766
08-04-2024,5860.23286
04-04-2024,5796.12335
03-04-2024,5776.07604
02-04-2024,5738.39709
01-04-2024,5761.37831
31-03-2024,5829.70087
28-03-2024,5778.32641
27-03-2024,5762.68051
25-03-2024,5834.38727
24-03-2024,5901.11781
21-03-2024,5941.66365
20-03-2024,5872.58391
19-03-2024,5814.09612
18-03-2024,5898.23548
14-03-2024,5968.0439
13-03-2024,5974.10653
12-03-2024,6006.87604
11-03-2024,6058.39435
10-03-2024,6075.24075
07-03-2024,6112.76197
06-03-2024,6166.13741
05-03-2024,6131.14235
04-03-2024,6175.24797
03-03-2024,6215.18904
29-02-2024,6254.53713
28-02-2024,6268.6292
27-02-2024,6272.72598
25-02-2024,6259.63215
22-02-2024,6273.95595
20-02-2024,6256.12705
19-02-2024,6258.98387
18-02-2024,6283.23592
15-02-2024,6336.25418
